Rpeaks,type,sampling_rate
105570,/,297
105867,/,297
106166,/,299
106476,/,310
106788,/,312
107099,/,311
107414,/,315
107718,/,304
108013,/,295
108307,/,294
108614,/,307
108930,/,316
109251,/,321
109563,/,312
109862,/,299
110159,/,297
110461,/,302
110766,/,305
111075,/,309
111392,/,317
111703,/,311
112008,/,305
112305,/,297
112600,/,295
112902,/,302
113228,/,326
113546,/,318
113853,/,307
114156,/,303
114449,/,293
114750,/,301
115054,/,304
115365,/,311
115679,/,314
116002,/,323
116304,/,302
116596,/,292
116893,/,297
117194,/,301
117512,/,318
117830,/,318
118142,/,312
118444,/,302
118748,/,304
119043,/,295
119340,/,297
119651,/,311
119966,/,315
120282,/,316
120591,/,309
120889,/,298
121182,/,293
121490,/,308
121804,/,314
122116,/,312
122429,/,313
122733,/,304
123031,/,298
123332,/,301
123631,/,299
123937,/,306
124261,/,324
124576,/,315
124879,/,303
125175,/,296
125470,/,295
125774,/,304
126090,/,316
126405,/,315
126713,/,308
127024,/,311
127322,/,298
127616,/,294
127912,/,296
128222,/,310
128543,/,321
128863,/,320
129169,/,306
129463,/,294
129763,/,300
130065,/,302
130374,/,309
130688,/,314
131002,/,314
131310,/,308
131613,/,303
131907,/,294
132200,/,293
132512,/,312
132836,/,324
133153,/,317
133456,/,303
133756,/,300
134052,/,296
134356,/,304
134660,/,304
134971,/,311
135291,/,320
135605,/,314
135903,/,298
136194,/,291
136493,/,299
136800,/,307
137123,/,323
137438,/,315
137744,/,306
138041,/,297
138345,/,304
138644,/,299
138945,/,301
139260,/,315
139573,/,313
139884,/,311
140185,/,301
140482,/,297
140778,/,296
141095,/,317
141412,/,317
141722,/,310
142031,/,309
142329,/,298
142627,/,298
142931,/,304
143236,/,305
143545,/,309
143868,/,323
144179,/,311
144478,/,299
144770,/,292
145070,/,300
145379,/,309
145699,/,320
146013,/,314
146318,/,305
146622,/,304
146920,/,298
147217,/,297
147517,/,300
147834,/,317
148152,/,318
148467,/,315
148767,/,300
149061,/,294
149361,/,300
149672,/,311
149988,/,316
150299,/,311
150612,/,313
150911,/,299
151210,/,299
151507,/,297
151808,/,301
152123,/,315
152450,/,327
152764,/,314
153061,/,297
153358,/,297
153653,/,295
153962,/,309
154274,/,312
154588,/,314
154899,/,311
155210,/,311
155505,/,295
155797,/,292
156100,/,303
156412,/,312
156734,/,322
157048,/,314
157350,/,302
157645,/,295
157949,/,304
158251,/,302
158559,/,308
158874,/,315
159186,/,312
159492,/,306
159790,/,298
160087,/,297
160386,/,299
160709,/,323
161026,/,317
161335,/,309
161639,/,304
161932,/,293
162232,/,300
162539,/,307
162848,/,309
163160,/,312
163482,/,322
163786,/,304
164078,/,292
164373,/,295
164674,/,301
164990,/,316
165311,/,321
165623,/,312
165923,/,300
166227,/,304
166522,/,295
166818,/,296
167128,/,310
167445,/,317
167761,/,316
168071,/,310
168368,/,297
168661,/,293
168968,/,307
169281,/,313
169595,/,314
169907,/,312
170212,/,305
170512,/,300
170813,/,301
171110,/,297
171414,/,304
171737,/,323
172055,/,318
172361,/,306
172656,/,295
172953,/,297
173254,/,301
173570,/,316
173882,/,312
174192,/,310
174505,/,313
174805,/,300
175100,/,295
175394,/,294
175704,/,310
176023,/,319
176342,/,319
176648,/,306
176943,/,295
177241,/,298
177546,/,305
177854,/,308
178166,/,312
178483,/,317
178788,/,305
179090,/,302
179385,/,295
179683,/,298
179990,/,307
180316,/,326
180633,/,317
180937,/,304
181236,/,299
181529,/,293
181833,/,304
182095,V,262
182428,/,333
182742,/,314
183058,/,316
183357,/,299
183648,/,291
183944,/,296
184250,/,306
184570,/,320
184890,/,320
185201,/,311
185497,/,296
185798,/,301
186096,/,298
186399,/,303
186710,/,311
187028,/,318
187341,/,313
187647,/,306
187941,/,294
188234,/,293
188545,/,311
188865,/,320
189181,/,316
189489,/,308
189791,/,302
190086,/,295
190388,/,302
190690,/,302
190999,/,309
191318,/,319
191636,/,318
191938,/,302
192230,/,292
192530,/,300
192835,/,305
193154,/,319
193467,/,313
193776,/,309
194081,/,305
194383,/,302
194680,/,297
194978,/,298
195292,/,314
195607,/,315
195922,/,315
196224,/,302
196520,/,296
196818,/,298
197130,/,312
197443,/,313
197754,/,311
198068,/,314
198368,/,300
198666,/,298
198963,/,297
199264,/,301
199575,/,311
199902,/,327
200215,/,313
200517,/,302
200813,/,296
201107,/,294
201414,/,307
201726,/,312
202040,/,314
202353,/,313
202664,/,311
202961,/,297
203251,/,290
203550,/,299
203862,/,312
204184,/,322
204498,/,314
204804,/,306
205099,/,295
205403,/,304
205703,/,300
206009,/,306
206324,/,315
206636,/,312
206945,/,309
207243,/,298
207538,/,295
207835,/,297
208157,/,322
208476,/,319
208785,/,309
209092,/,307
209386,/,294
209686,/,300
209988,/,302
210296,/,308
210609,/,313
210933,/,324
211239,/,306
211534,/,295
211829,/,295
212127,/,298
212442,/,315
212764,/,322
213076,/,312
213299,V,223
213627,/,328
213925,/,298
214222,/,297
214524,/,302
214840,/,316
215158,/,318
215471,/,313
215768,/,297
216061,/,293
216364,/,303
216676,/,312
216990,/,314
217302,/,312
217614,/,312
217912,/,298
218210,/,298
218507,/,297
218809,/,302
219126,/,317
219450,/,324
219761,/,311
220058,/,297
220354,/,296
220650,/,296
220961,/,311
221277,/,316
221511,V,234
221842,/,331
222151,/,309
222445,/,294
222738,/,293
223037,/,299
223350,/,313
223671,/,321
223989,/,318
224293,/,304
224585,/,292
224887,/,302
225191,/,304
225501,/,310
225815,/,314
226128,/,313
226434,/,306
226734,/,300
227027,/,293
227325,/,298
227643,/,318
227965,/,322
228280,/,315
228580,/,300
228879,/,299
229176,/,297
229482,/,306
229792,/,310
230104,/,312
230419,/,315
230730,/,311
231028,/,298
231320,/,292
231621,/,301
231935,/,314
232258,/,323
232570,/,312
232872,/,302
233172,/,300
233474,/,302
233775,/,301
234080,/,305
234397,/,317
234709,/,312
235018,/,309
235314,/,296
235608,/,294
235909,/,301
236230,/,321
236548,/,318
236858,/,310
237164,/,306
237459,/,295
237757,/,298
238057,/,300
238365,/,308
238681,/,316
239005,/,324
239311,/,306
239606,/,295
239902,/,296
240200,/,298
240515,/,315
240834,/,319
241146,/,312
241451,/,305
241756,/,305
242052,/,296
242345,/,293
242652,/,307
242967,/,315
243287,/,320
243596,/,309
243895,/,299
244189,/,294
244496,/,307
244805,/,309
245115,/,310
245429,/,314
245736,/,307
246038,/,302
246336,/,298
246633,/,297
246937,/,304
247262,/,325
247579,/,317
247885,/,306
248184,/,299
248478,/,294
248781,/,303
249090,/,309
249405,/,315
249716,/,311
250033,/,317
250332,/,299
250625,/,293
250920,/,295
251225,/,305
251546,/,321
251868,/,322
252176,/,308
252472,/,296
252774,/,302
253074,/,300
253377,/,303
253689,/,312
254004,/,315
254317,/,313
254620,/,303
254914,/,294
255207,/,293
255518,/,311
255838,/,320
256153,/,315
256462,/,309
256764,/,302
257059,/,295
257361,/,302
257665,/,304
257974,/,309
258293,/,319
258609,/,316
258910,/,301
259203,/,293
259502,/,299
259806,/,304
260127,/,321
260443,/,316
260753,/,310
261054,/,301
261356,/,302
261654,/,298
261950,/,296
262263,/,313
262578,/,315
262895,/,317
263197,/,302
263493,/,296
263788,/,295
264101,/,313
264415,/,314
264726,/,311
265040,/,314
265341,/,301
265639,/,298
265939,/,300
266242,/,303
266551,/,309
266873,/,322
267189,/,316
267490,/,301
267786,/,296
268082,/,296
268389,/,307
268709,/,320
269023,/,314
269331,/,308
269638,/,307
269937,/,299
270232,/,295
270530,/,298
270843,/,313
271163,/,320
271483,/,320
271785,/,302
272009,V,224
272285,/,276
272592,/,307
272902,/,310
273213,/,311
273528,/,315
273834,/,306
274135,/,301
274430,/,295
274726,/,296
275035,/,309
275362,/,327
275678,/,316
275983,/,305
276282,/,299
276576,/,294
276878,/,302
277186,/,308
277500,/,314
277815,/,315
278131,/,316
278429,/,298
278721,/,292
279019,/,298
279323,/,304
279646,/,323
279963,/,317
280272,/,309
280570,/,298
280873,/,303
281172,/,299
281472,/,300
281785,/,313
282100,/,315
282413,/,313
282674,V,261
282945,/,271
283238,/,293
283551,/,313
283867,/,316
284179,/,312
284491,/,312
284792,/,301
285090,/,298
285391,/,301
285693,/,302
286000,/,307
286322,/,322
286637,/,315
286938,/,301
287232,/,294
287529,/,297
287836,/,307
288137,V,301
288426,/,289
288733,/,307
289042,/,309
289342,/,300
289639,/,297
289934,/,295
290247,/,313
290563,/,316
290883,/,320
291186,/,303
291481,/,295
291781,/,300
292087,/,306
292400,/,313
292712,/,312
293026,/,314
293330,/,304
293630,/,300
293924,/,294
294220,/,296
294531,/,311
294857,/,326
295172,/,315
295475,/,303
295772,/,297
296067,/,295
296306,V,239
296594,/,288
296908,/,314
297218,/,310
297534,/,316
297834,/,300
298128,/,294
298424,/,296
298729,/,305
299048,/,319
299373,/,325
299682,/,309
299978,/,296
300278,/,300
300579,/,301
300884,/,305
301193,/,309
301510,/,317
301823,/,313
302125,/,302
302419,/,294
302714,/,295
303021,/,307
303344,/,323
303661,/,317
303969,/,308
304272,/,303
304505,V,233
304781,/,276
305086,/,305
305396,/,310
305710,/,314
306031,/,321
306335,/,304
306629,/,294
306925,/,296
307225,/,300
307544,/,319
307866,/,322
308179,/,313
308479,/,300
308781,/,302
309079,/,298
309377,/,298
309685,/,308
310001,/,316
310319,/,318
310631,/,312
310925,/,294
311217,/,292
311526,/,309
311842,/,316
312156,/,314
312467,/,311
312772,/,305
313071,/,299
313371,/,300
313668,/,297
313972,/,304
314296,/,324
314613,/,317
314918,/,305
315215,/,297
315512,/,297
315814,/,302
316130,/,316
316444,/,314
316753,/,309
317065,/,312
317296,V,231
317569,/,273
317864,/,295
318168,/,304
318482,/,314
318804,/,322
319116,/,312
319416,/,300
319712,/,296
320018,/,306
320324,/,306
320633,/,309
320947,/,314
321257,/,310
321560,/,303
321855,/,295
322151,/,296
322455,/,304
322778,/,323
323096,/,318
323402,/,306
323705,/,303
323998,/,293
324300,/,302
324605,/,305
324918,/,313
325230,/,312
325551,/,321
325851,/,300
326143,/,292
326380,V,237
326656,/,276
326974,/,318
327297,/,323
327610,/,313
327911,/,301
328213,/,302
328511,/,298
328810,/,299
329116,/,306
329432,/,316
329749,/,317
330060,/,311
330354,/,294
330646,/,292
330953,/,307
331269,/,316
331552,V,283
331838,/,286
332147,/,309
332443,/,296
332742,/,299
333039,/,297
333342,/,303
333660,/,318
333983,/,323
334291,/,308
334586,/,295
334883,/,297
335114,V,231
335399,/,285
335720,/,321
336036,/,316
336344,/,308
336651,/,307
336946,/,295
337241,/,295
337542,/,301
337855,/,313
338175,/,320
338495,/,320
338796,/,301
339087,/,291
339389,/,302
339697,/,308
340010,/,313
340321,/,311
340636,/,315
340939,/,303
341237,/,298
341532,/,295
341830,/,298
342146,/,316
342468,/,322
342781,/,313
343082,/,301
343382,/,300
343677,/,295
343985,/,308
344296,/,311
344608,/,312
344922,/,314
345233,/,311
345530,/,297
345821,/,291
346123,/,302
346433,/,310
346757,/,324
347071,/,314
347376,/,305
347671,/,295
347977,/,306
348279,/,302
348585,/,306
348901,/,316
349212,/,311
349522,/,310
349819,/,297
350073,V,254
350346,/,273
350665,/,319
350986,/,321
351296,/,310
351603,/,307
351902,/,299
352199,/,297
352503,/,304
352808,/,305
353119,/,311
353442,/,323
353750,/,308
354045,/,295
354340,/,295
354638,/,298
354950,/,312
355274,/,324
355590,/,316
355894,/,304
356197,/,303
356444,V,247
356718,/,274
357020,/,302
357334,/,314
357650,/,316
357968,/,318
358265,/,297
358558,/,293
358859,/,301
359169,/,310
359487,/,318
359796,/,309
360109,/,313
360410,/,301
360708,/,298
361003,/,295
361303,/,300
361619,/,316
361942,/,323
362255,/,313
362479,V,224
362753,/,274
363049,/,296
363275,V,226
363610,/,335
363925,/,315
364235,/,310
364549,/,314
364847,/,298
365139,/,292
365438,/,299
365744,/,306
366064,/,320
366386,/,322
366693,/,307
366988,/,295
367290,/,302
367592,/,302
367837,V,245
368122,/,285
368439,/,317
368750,/,311
369055,/,305
369347,/,292
369640,/,293
369947,/,307
370270,/,323
370588,/,318
370896,/,308
371200,/,304
371495,/,295
371795,/,300
372097,/,302
372406,/,309
372723,/,317
373044,/,321
373345,/,301
373636,/,291
373933,/,297
374234,/,301
374553,/,319
374872,/,319
375185,/,313
375487,/,302
375791,/,304
376086,/,295
376384,/,298
376694,/,310
377009,/,315
377327,/,318
377635,/,308
377875,V,240
378144,/,269
378449,/,305
378764,/,315
379082,/,318
379392,/,310
379700,/,308
379998,/,298
380297,/,299
380595,/,298
380898,/,303
381219,/,321
381539,/,320
381845,/,306
382139,/,294
382439,/,300
382738,/,299
383053,/,315
383369,/,316
383622,V,253
383907,/,285
384214,/,307
384509,/,295
384802,/,293
385106,/,304
385419,/,313
385741,/,322
386056,/,315
386355,/,299
386649,/,294
386954,/,305
387263,/,309
387573,/,310
387888,/,315
388198,/,310
388502,/,304
388801,/,299
389096,/,295
389396,/,300
389720,/,324
389976,V,256
390267,/,291
390568,/,301
390867,/,299
391165,/,298
391470,/,305
391780,/,310
392090,/,310
392408,/,318
392717,/,309
393013,/,296
393305,/,292
393607,/,302
393919,/,312
394241,/,322
394554,/,313
394857,/,303
395158,/,301
395459,/,301
395760,/,301
396067,/,307
396382,/,315
396696,/,314
397007,/,311
397302,/,295
397594,/,292
397897,/,303
398214,/,317
398535,/,321
398786,V,251
399070,/,284
399368,/,298
399666,/,298
399965,/,299
400270,/,305
400583,/,313
400909,/,326
401217,/,308
401510,/,293
401806,/,296
402103,/,297
402414,/,311
402733,/,319
403048,/,315
403357,/,309
403664,/,307
403960,/,296
404253,/,293
404558,/,305
404870,/,312
405141,V,271
405433,/,292
405734,/,301
406024,/,290
406329,/,305
406634,/,305
406948,/,314
407260,/,312
407572,/,312
407878,/,306
408178,/,300
408472,/,294
408769,/,297
408995,V,226
409296,/,301
409612,/,316
409913,/,301
410213,/,300
410508,/,295
410811,/,303
411121,/,310
411433,/,312
411749,/,316
412002,V,253
412276,/,274
412566,/,290
412863,/,297
413166,/,303
413483,/,317
413806,/,323
414118,/,312
414415,/,297
414718,/,303
415017,/,299
415321,/,304
415632,/,311
415948,/,316
416190,V,242
416475,/,285
416771,/,296
417064,/,293
417364,/,300
417685,/,321
418003,/,318
418311,/,308
418617,/,306
418913,/,296
419154,V,241
419433,/,279
419740,/,307
420050,/,310
420372,/,322
420681,/,309
420977,/,296
421272,/,295
421571,/,299
421881,/,310
422147,V,266
422437,/,290
422746,/,309
423051,/,305
423351,/,300
423649,/,298
423949,/,300
424264,/,315
424578,/,314
424896,/,318
425197,/,301
425490,/,293
425721,V,231
426008,/,287
426324,/,316
426636,/,312
426950,/,314
427255,/,305
427555,/,300
427853,/,298
428151,/,298
428458,/,307
428784,/,326
429099,/,315
429400,/,301
429696,/,296
429993,/,297
430296,/,303
430612,/,316
430927,/,315
431238,/,311
431494,V,256
431788,/,294
432083,/,295
432377,/,294
432684,/,307
433003,/,319
433324,/,321
433631,/,307
433926,/,295
434230,/,304
434450,V,220
434784,/,334
435096,/,312
435412,/,316
435724,/,312
436028,/,304
436321,/,293
436614,/,293
436922,/,308
437242,/,320
437559,/,317
437866,/,307
438168,/,302
438466,/,298
438767,/,301
439070,/,303
439379,/,309
439697,/,318
440015,/,318
440316,/,301
440608,/,292
440906,/,298
441210,/,304
441526,/,316
441843,/,317
442154,/,311
442459,/,305
442761,/,302
443059,/,298
443358,/,299
443672,/,314
443987,/,315
444305,/,318
444606,/,301
444897,/,291
445195,/,298
445504,/,309
445821,/,317
446134,/,313
446448,/,314
446751,/,303
447030,~,279
447051,/,21
447346,/,295
447643,/,297
447756,~,113
447958,/,202
448281,/,323
448596,/,315
448894,/,298
449190,/,296
449485,/,295
449790,/,305
450104,/,314
450420,/,316
450734,/,314
451048,/,314
451343,/,295
451633,/,290
451934,/,301
452243,/,309
452563,/,320
452880,/,317
453184,/,304
453479,/,295
453784,/,305
454086,/,302
454394,/,308
454710,/,316
454979,V,269
455284,/,305
455588,/,304
455881,/,293
456176,/,295
456489,/,313
456809,/,320
457122,/,313
457425,/,303
457726,/,301
458026,/,300
458330,/,304
458636,/,306
458948,/,312
459268,/,320
459578,/,310
459875,/,297
460167,/,292
460468,/,301
460774,/,306
461096,/,322
461411,/,315
461716,/,305
462019,/,303
462321,/,302
462621,/,300
462925,/,304
463242,/,317
463556,/,314
463869,/,313
464166,/,297
464458,/,292
464758,/,300
465073,/,315
465391,/,318
465703,/,312
466014,/,311
466313,/,299
466614,/,301
466911,/,297
467214,/,303
467530,/,316
467855,/,325
468165,/,310
468458,/,293
468755,/,297
469052,/,297
469360,/,308
469677,/,317
469992,/,315
470304,/,312
470613,/,309
470907,/,294
471200,/,293
471504,/,304
471816,/,312
472137,/,321
472449,/,312
472749,/,300
473043,/,294
473350,/,307
473656,/,306
473968,/,312
474284,/,316
474595,/,311
474902,/,307
475196,/,294
475491,/,295
475795,/,304
476116,/,321
476433,/,317
476739,/,306
477039,/,300
477334,/,295
477637,/,303
477942,/,305
478256,/,314
478572,/,316
478892,/,320
479192,/,300
479481,/,289
479779,/,298
480080,/,301
480398,/,318
480715,/,317
481025,/,310
481328,/,303
481633,/,305
481931,/,298
482230,/,299
482545,/,315
482858,/,313
483175,/,317
483480,/,305
483773,/,293
484066,/,293
484378,/,312
484692,/,314
485003,/,311
485316,/,313
485620,/,304
485921,/,301
486219,/,298
486519,/,300
486830,/,311
487155,/,325
487468,/,313
487767,/,299
488062,/,295
488356,/,294
488660,/,304
488975,/,315
489291,/,316
489602,/,311
489915,/,313
490212,/,297
490504,/,292
490804,/,300
491114,/,310
491433,/,319
491752,/,319
492057,/,305
492348,/,291
492650,/,302
492952,/,302
493263,/,311
493578,/,315
493892,/,314
494202,/,310
494507,/,305
494800,/,293
495095,/,295
495409,/,314
495730,/,321
496043,/,313
496344,/,301
496642,/,298
496940,/,298
497244,/,304
497553,/,309
497789,V,236
498081,/,292
498401,/,320
498698,/,297
498988,/,290
499287,/,299
499591,/,304
499909,/,318
500228,/,319
500537,/,309
500835,/,298
501139,/,304
501439,/,300
501741,/,302
502057,/,316
502371,/,314
502687,/,316
502991,/,304
503237,V,246
503505,/,268
503813,/,308
504130,/,317
504446,/,316
504755,/,309
505060,/,305
505359,/,299
505662,/,303
505962,/,300
506239,V,277
506553,/,314
506872,/,319
507176,/,304
507468,/,292
507764,/,296
508065,/,301
508381,/,316
508695,/,314
509005,/,310
509219,V,214
509524,/,305
509820,/,296
510115,/,295
510422,/,307
510735,/,313
511008,V,273
511298,/,290
511597,/,299
511843,V,246
512120,/,277
512424,/,304
512735,/,311
512974,V,239
513264,/,290
513572,/,308
513877,/,305
514098,V,221
514372,/,274
514634,V,262
514928,/,294
515244,/,316
515554,/,310
515855,/,301
516149,/,294
516448,/,299
516755,/,307
517067,/,312
517380,/,313
517701,/,321
518007,/,306
518301,/,294
518595,/,294
518895,/,300
519210,/,315
519531,/,321
519842,/,311
520143,/,301
520445,/,302
520743,/,298
521041,/,298
521353,/,312
521671,/,318
521988,/,317
522299,/,311
522595,/,296
522882,/,287
523188,/,306
523502,/,314
523817,/,315
524126,/,309
524432,/,306
524731,/,299
525035,/,304
525332,/,297
525639,/,307
525964,/,325
526281,/,317
526585,/,304
526879,/,294
527174,/,295
527475,/,301
527789,/,314
528103,/,314
528413,/,310
528724,/,311
529027,/,303
529324,/,297
529620,/,296
529932,/,312
530249,/,317
530568,/,319
530874,/,306
531167,/,293
531464,/,297
531767,/,303
532077,/,310
532391,/,314
532707,/,316
533014,/,307
533318,/,304
533615,/,297
533911,/,296
534221,/,310
534545,/,324
534860,/,315
535162,/,302
535458,/,296
535751,/,293
536055,/,304
536362,/,307
536679,/,317
536995,/,316
537313,/,318
537611,/,298
537903,/,292
538203,/,300
538508,/,305
538828,/,320
539145,/,317
539453,/,308
539748,/,295
540052,/,304
540351,/,299
540653,/,302
540882,V,229
541179,/,297
541494,/,315
541804,/,310
542098,/,294
542388,/,290
542695,/,307
542975,V,280
543286,/,311
543594,/,308
543901,/,307
544196,/,295
544497,/,301
544796,/,299
545106,/,310
545428,/,322
545749,/,321
546057,/,308
546349,/,292
546644,/,295
546944,/,300
547258,/,314
547572,/,314
547884,/,312
548191,/,307
548495,/,304
548792,/,297
549089,/,297
549402,/,313
549720,/,318
550038,/,318
550342,/,304
550636,/,294
550932,/,296
551238,/,306
551549,/,311
551861,/,312
552175,/,314
552480,/,305
552785,/,305
553082,/,297
553378,/,296
553690,/,312
554014,/,324
554239,V,225
554520,/,281
554818,/,298
555111,/,293
555412,/,301
555718,/,306
556032,/,314
556346,/,314
556667,/,321
556969,/,302
557259,/,290
557556,/,297
557861,/,305
558181,/,320
558459,V,278
558746,/,287
559045,/,299
559346,/,301
559643,/,297
559942,/,299
560253,/,311
560520,V,267
560833,/,313
561145,/,312
561442,/,297
561733,/,291
562036,/,303
562351,/,315
562667,/,316
562976,/,309
563283,/,307
563581,/,298
563883,/,302
564180,/,297
564484,/,304
564808,/,324
565129,/,321
565436,/,307
565731,/,295
566027,/,296
566325,/,298
566638,/,313
566951,/,313
567185,V,234
567473,/,288
567781,/,308
568077,/,296
568371,/,294
568676,/,305
568917,V,241
569213,/,296
569533,/,320
569837,/,304
570129,/,292
570428,/,299
570650,V,222
570937,/,287
571249,/,312
571564,/,315
571871,/,307
572174,/,303
572410,V,236
572687,/,277
572989,/,302
573313,/,324
573630,/,317
573937,/,307
574236,/,299
574528,/,292
574828,/,300
575137,/,309
575451,/,314
575762,/,311
576081,/,319
576382,/,301
576677,/,295
576974,/,297
577279,/,305
577597,/,318
577918,/,321
578228,/,310
578525,/,297
578824,/,299
579124,/,300
579427,/,303
579737,/,310
580056,/,319
580372,/,316
580681,/,309
580976,/,295
581268,/,292
581576,/,308
581895,/,319
582210,/,315
582517,/,307
582823,/,306
583119,/,296
583420,/,301
583720,/,300
584028,/,308
584351,/,323
584671,/,320
584975,/,304
585267,/,292
585564,/,297
585867,/,303
586185,/,318
586497,/,312
586805,/,308
587113,/,308
587413,/,300
587710,/,297
588008,/,298
588322,/,314
588641,/,319
588960,/,319
589263,/,303
589557,/,294
589855,/,298
590161,/,306
590473,/,312
590785,/,312
591098,/,313
591404,/,306
591706,/,302
592001,/,295
592298,/,297
592614,/,316
592937,/,323
593250,/,313
593551,/,301
593850,/,299
594145,/,295
594449,/,304
594757,/,308
595068,/,311
595386,/,318
595696,/,310
595993,/,297
596285,/,292
596587,/,302
596899,/,312
597223,/,324
597535,/,312
597838,/,303
598137,/,299
598436,/,299
598735,/,299
599040,/,305
599358,/,318
599673,/,315
599986,/,313
600283,/,297
600576,/,293
600878,/,302
601195,/,317
601514,/,319
601822,/,308
602130,/,308
602426,/,296
602726,/,300
603022,/,296
603325,/,303
603646,/,321
603968,/,322
604276,/,308
604571,/,295
604869,/,298
605168,/,299
605480,/,312
605794,/,314
606106,/,312
606415,/,309
